"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"HP Laptop with Wireless Buds, Intel 10-Core I5 Processor, Touch-Screen, 15.6'' HD Display, 64GB RAM, 1TB SSD, HDMI, USB-C, Intel Iris Xe Graphics, Windows 11 Pro, Lifetime MS Office","B0DRCQZS48","HP",,,"https://m.media-amazon.com/images/I/61003tPKmjL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops","Power to do what matters most. The reliable processing power of an Intel processor, plus ample storage, powerful graphics and design with recycled materials, give you the power and capacity to do more.",,"$","599","https://www.amazon.com/dp/B0DRCQZS48"
"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey","B0CQN3FDH5","Lenovo","4.2","505","https://m.media-amazon.com/images/I/71496nJIhVL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops",,,"$","349","https://www.amazon.com/dp/B0CQN3FDH5"
"HP 15.6"" Business & Student Laptop Computer, Intel Core i3, Windows 11 Pro Laptop with Microsoft Office Lifetime License, Plusera Earphones (Intel Core i3, 32GB RAM | 1TB SSD)","B0DHYFW9QK","HP","4.3","58","https://m.media-amazon.com/images/I/61Hq-4AehGL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets","This laptop is equipped with the powerful Intel Core i3 processor, along with generous RAM and Storage. Enjoy effortless multitasking on its 15.6"" HD LED display with an integrated camera. This laptop is designed with additional features to cater to your specific needs. Numeric keypad. The extended battery life ensures you can stay focused for longer periods. Stay connected with ample ports for all your devices. Built to support your workflow, whether at home or on the go. Experience the enhanced security and performance of Windows 11 Pro, with fast boot times and responsive operations.",,"$","599.99","https://www.amazon.com/dp/B0DHYFW9QK"
"Apple 2024 MacBook Air 13-inch Laptop with M3 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, Backlit Keyboard, Touch ID; Midnight","B0DLHY19N3","Apple","4.6","674","https://m.media-amazon.com/images/I/71x9JI-Il0L.__AC_SY445_SX342_QL70_ML2_.jpg","",,,"$","899","https://www.amazon.com/dp/B0DLHY19N3"
"Laptop, 15.6 Inch Notebook, 8GB DDR4 256GB SSD Laptops, Expandable 1TB, Celeron Quad Core Processor (up to 2.5 GHz), UHD Graphics 600, 5GWiFi, Type-C, Mini HDMI, USB3.0","B0D9HVRVFG","SGIN","5","1","https://m.media-amazon.com/images/I/61W6o1VKBxL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops","15 inch laptop",,"$","139.99","https://www.amazon.com/dp/B0D9HVRVFG"
"HP 14"" LED Business Laptop Computer, 16GB RAM 320GB Storage (64GB eMMC+256GB SD Card), Intel Quad-Core N4120, Windows 11 S Laptop with 1-Year Microsoft Office 365, PLUSERA Earphones, White","B0DH6TBYGP","HP","4","104","https://m.media-amazon.com/images/I/610HOmobmnL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets","This laptop is equipped with the powerful Intel Celeron N4120 processor, along with generous RAM and Storage. Enjoy effortless multitasking on its 14"" HD LED display with an integrated camera. This laptop is designed with additional features to cater to your specific needs. The extended battery life ensures you can stay focused for longer periods. Stay connected with ample ports for all your devices. Built to support your workflow, whether at home or on the go. Experience the enhanced security and performance of Windows 11 S, with fast boot times and responsive operations.",,"$","272.99","https://www.amazon.com/dp/B0DH6TBYGP"
"HP Ultralight 14 inch Laptop with Intel 4-Core Processor, Microsoft 365 and Wireless Earbuds, 16GB RAM, 512GB External Drive & 128GB Emmc & 1TB Cloud Storage, HD Display, Rose Gold, Windows 11","B0DM2JK9Y3","HP","5","12","https://m.media-amazon.com/images/I/81yG4KTmOpL.__AC_SX300_SY300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets","||Memory: 16GB-32GB DDR4-2400 MHz RAM. Adequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once. ||Internal storage: 128 GB eMMC+ 512GB External Drive. An embedded multimedia card provides reliable flash-based storage. ||Graphics: Intel UHD Graphics 600. Smoothly stream content and play your favorite games. ||Battery life: Up to 11 hours and 30 minutes (video playback); Up to 9 hours (wireless streaming) ||Wireless: 802.11a/b/g/n/ac (2x2)(19a) Wi-Fi and Bluetooth combo. Stay connected to Wi-Fi and to Bluetooth accessories with wireless technology. ||Camera: HP True Vision 720p HD camera with integrated dual array digital microphones. Video chat with vibrant clarity, even in low light. ||HP Fast Charge. Go from 0 to 50% charge in approximately 45 minutes. ||Dual array microphones. With two microphones and advanced noise reduction software, you'll always sound crystal clear when you video chat or record. ||Energy efficiency your way. Do the environment—and your wallet—a favor when you use the HP Stream Laptop that meets strict energy-efficiency and helps reduce your carbon footprint. ||Microsoft 365 - One Year Subscription Included. Make the most out of your 365: Bring your ideas to life. Your creativity now gets a boost with Microsoft 365. Office - Word, Excel, and Power Point - now includes smart assistance features that help make your writing more readable, your data clearer and your presentations more visually powerful. One year subscription included.",,"$","399.99","https://www.amazon.com/dp/B0DM2JK9Y3"
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode","B0BS4BP8FB","acer","4.2","2962","https://m.media-amazon.com/images/I/61gKkYQn6lL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops","Choose the ready-to-go Aspire 3 with the latest Ryzen™ 7000 Series Processors made for practical multitasking and productivity. With ease-of-use at its core, this family-friendly laptop is ready when you are. This Aspire 3 can tackle any job no matter how complex. Creativity soars to new heights with sharp, crisp visuals showcased on the 15.6"" Full HD IPS screen, while the thin bezel provides you with more space to work with wherever inspiration strikes. It’s the perfect companion to take with you wherever you go With Windows 11 Home in S mode, you’ll experience fast start-ups, a familiar yet expanded Start menu, and great new ways to get stuff done. And with automatic updates enabled, you get all the latest features and security hassle-free. Work, play and share all in one device (NX.KJBAA.001).",,"$","315","https://www.amazon.com/dp/B0BS4BP8FB"
"acer 2024 Chromebook, 15"" HD IPS ComfyView Screen, Intel Celeron N Processor Up to 2.70GHz, 4GB LPDDR4, 64GB eMMC, Intel UHD Graphics, 6th Gen WiFi, Webcam, Chrome OS, Dove Gray(Renewed)","B0CNKX4T3Q","acer","4.4","289","https://m.media-amazon.com/images/I/51EecQP9FxL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops","acer 2024 Chromebook, 15"" HD IPS ComfyView Screen, Intel Celeron N Processor Up to 2.70GHz, 4GB LPDDR4, 64GB eMMC, Intel UHD Graphics, 6th Gen WiFi, Webcam, Chrome OS, Dove Gray(Renewed)",,"$","139.99","https://www.amazon.com/dp/B0CNKX4T3Q"
"HP Chromebook Laptop • 14 Inch Display • Intel Celeron N4120 Processor • 8GB RAM • 128GB eMMC • Intel UHD Graphics 600 • WiFi • Bluetooth • Backlit Keyboard • Chrome OS • Modern Gray","B0C7MR5RDH","HP","4.2","518","https://m.media-amazon.com/images/I/51PsNbMd-CL.__AC_SY300_SX300_QL70_ML2_.jpg","Electronics › Computers & Accessories › Computers & Tablets › Laptops › Traditional Laptops","Statement:Original Seal is opened for upgrade ONLY. If the computer has modifications, then the manufacturer box is opened for it to be tested & inspected & to install the upgrades to achieve the specifications as advertisedBrand: HPProcessor Model: Intel Celeron N4120 ProcessorProcessor Cores: 4-coreOperating System: Chrome OSGPU: Intel UHD Graphics 600Display Type: LEDGraphics Type: IntegratedScreen Size: 14 InchScreen Resolution: 1366 X 768System Memory (RAM): Up to 4 gigabytesType of Mem",,"$","167.9","https://www.amazon.com/dp/B0C7MR5RDH"
